Release date,Product,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),CWE
"Dec 13, 2022",Windows 10 for x64-based Systems,Remote Code Execution,Critical,5021243,https://support.microsoft.com/help/5021243,5019970,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021243,10.0.10240.19624,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 for 32-bit Systems,Remote Code Execution,Critical,5021243,https://support.microsoft.com/help/5021243,5019970,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021243,10.0.10240.19624,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 22H2 for 32-bit Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 22H2 for ARM64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 22H2 for x64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 11 Version 22H2 for x64-based Systems,Remote Code Execution,Critical,5021255,https://support.microsoft.com/help/5021255,5019980,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021255,10.0.22621.993,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 11 Version 22H2 for ARM64-based Systems,Remote Code Execution,Critical,5021255,https://support.microsoft.com/help/5021255,5019980,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021255,10.0.22621.993,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 21H2 for x64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 21H2 for ARM64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 21H2 for 32-bit Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 11 version 21H2 for ARM64-based Systems,Remote Code Execution,Critical,5021234,https://support.microsoft.com/help/5021234,5019961,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021234,10.0.22000.1335,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 11 version 21H2 for x64-based Systems,Remote Code Execution,Critical,5021234,https://support.microsoft.com/help/5021234,5019961,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021234,10.0.22000.1335,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 20H2 for ARM64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19042.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 20H2 for 32-bit Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19042.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 21H1 for 32-bit Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 21H1 for ARM64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 21H1 for x64-based Systems,Remote Code Execution,Critical,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 1809 for ARM64-based Systems,Remote Code Execution,Critical,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 1809 for x64-based Systems,Remote Code Execution,Critical,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 10 Version 1809 for 32-bit Systems,Remote Code Execution,Critical,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-41076,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41076,[]
"Dec 13, 2022",Windows 11 Version 22H2 for x64-based Systems,Elevation of Privilege,Important,5021255,https://support.microsoft.com/help/5021255,5019980,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021255,10.0.22621.993,CVE-2022-44710,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44710,[]
"Dec 13, 2022",Windows 11 Version 22H2 for ARM64-based Systems,Elevation of Privilege,Important,5021255,https://support.microsoft.com/help/5021255,5019980,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021255,10.0.22621.993,CVE-2022-44710,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44710,[]
"Dec 13, 2022",Windows 10 Version 1607 for x64-based Systems,Denial of Service,Important,5021235,https://support.microsoft.com/help/5021235,5019964,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021235,10.0.14393.5582,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 1607 for 32-bit Systems,Denial of Service,Important,5021235,https://support.microsoft.com/help/5021235,5019964,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021235,10.0.14393.5582,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 for x64-based Systems,Denial of Service,Important,5021243,https://support.microsoft.com/help/5021243,5019970,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021243,10.0.10240.19624,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 for 32-bit Systems,Denial of Service,Important,5021243,https://support.microsoft.com/help/5021243,5019970,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021243,10.0.10240.19624,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 22H2 for 32-bit Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 22H2 for ARM64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 22H2 for x64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 11 Version 22H2 for x64-based Systems,Denial of Service,Important,5021255,https://support.microsoft.com/help/5021255,5019980,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021255,10.0.22621.993,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 11 Version 22H2 for ARM64-based Systems,Denial of Service,Important,5021255,https://support.microsoft.com/help/5021255,5019980,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021255,10.0.22621.993,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 21H2 for x64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 21H2 for ARM64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 21H2 for 32-bit Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 11 version 21H2 for ARM64-based Systems,Denial of Service,Important,5021234,https://support.microsoft.com/help/5021234,5019961,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021234,10.0.22000.1335,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 11 version 21H2 for x64-based Systems,Denial of Service,Important,5021234,https://support.microsoft.com/help/5021234,5019961,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021234,10.0.22000.1335,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 20H2 for ARM64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19042.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 20H2 for 32-bit Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19042.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 21H1 for 32-bit Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 21H1 for ARM64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 21H1 for x64-based Systems,Denial of Service,Important,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 1809 for ARM64-based Systems,Denial of Service,Important,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 1809 for x64-based Systems,Denial of Service,Important,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 1809 for 32-bit Systems,Denial of Service,Important,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-44707,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44707,[]
"Dec 13, 2022",Windows 10 Version 1607 for x64-based Systems,Security Feature Bypass,Moderate,5021235,https://support.microsoft.com/help/5021235,5019964,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021235,10.0.14393.5582,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 1607 for 32-bit Systems,Security Feature Bypass,Moderate,5021235,https://support.microsoft.com/help/5021235,5019964,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021235,10.0.14393.5582,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 22H2 for 32-bit Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 22H2 for ARM64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 22H2 for x64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19045.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 21H2 for x64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 21H2 for ARM64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 21H2 for 32-bit Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19044.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 11 version 21H2 for ARM64-based Systems,Security Feature Bypass,Moderate,5021234,https://support.microsoft.com/help/5021234,5019961,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021234,10.0.22000.1335,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 11 version 21H2 for x64-based Systems,Security Feature Bypass,Moderate,5021234,https://support.microsoft.com/help/5021234,5019961,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021234,10.0.22000.1335,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 20H2 for ARM64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19042.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 20H2 for 32-bit Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19042.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 21H1 for 32-bit Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 21H1 for ARM64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 21H1 for x64-based Systems,Security Feature Bypass,Moderate,5021233,https://support.microsoft.com/help/5021233,5019959,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021233,10.0.19043.2364,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 1809 for ARM64-based Systems,Security Feature Bypass,Moderate,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 1809 for x64-based Systems,Security Feature Bypass,Moderate,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 1809 for 32-bit Systems,Security Feature Bypass,Moderate,5021237,https://support.microsoft.com/help/5021237,5019966,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5021237,10.0.17763.3770,CVE-2022-44698,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698,[]
"Dec 13, 2022",Windows 10 Version 1607 for x64-based Systems,Defense in Depth,None,5022289,https://support.microsoft.com/help/5022289,5021235,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022289,10.0.14393.5648,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 Version 1607 for 32-bit Systems,Defense in Depth,None,5022289,https://support.microsoft.com/help/5022289,5021235,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022289,10.0.14393.5648,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 for x64-based Systems,Defense in Depth,None,5022297,https://support.microsoft.com/help/5022297,5021243,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022297,10.0.10240.19685,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 for 32-bit Systems,Defense in Depth,None,5022297,https://support.microsoft.com/help/5022297,5021243,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022297,10.0.10240.19685,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 Version 22H2 for 32-bit Systems,Defense in Depth,None,5022282,https://support.microsoft.com/help/5022282,5021233,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022282,10.0.19045.2486,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 Version 22H2 for ARM64-based Systems,Defense in Depth,None,5022282,https://support.microsoft.com/help/5022282,5021233,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022282,10.0.19045.2486,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 Version 22H2 for x64-based Systems,Defense in Depth,None,5022282,https://support.microsoft.com/help/5022282,5021233,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022282,10.0.19045.2486,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 11 Version 22H2 for x64-based Systems,Defense in Depth,None,5022303,https://support.microsoft.com/help/5022303,5021255,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022303,10.0.22621.1105,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 11 Version 22H2 for ARM64-based Systems,Defense in Depth,None,5022303,https://support.microsoft.com/help/5022303,5021255,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022303,10.0.22621.1105,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 Version 21H2 for x64-based Systems,Defense in Depth,None,5022282,https://support.microsoft.com/help/5022282,5021233,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022282,10.0.19044.2486,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
"Dec 13, 2022",Windows 10 Version 21H2 for ARM64-based Systems,Defense in Depth,None,5022282,https://support.microsoft.com/help/5022282,5021233,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5022282,10.0.19044.2486,ADV220005,https://msrc.microsoft.com/update-guide/vulnerability/ADV220005,[]
